--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
155.700  005.852  000.055: require('luasnip.nodes.util.trig_engines')
156.357  007.921  000.753: require('luasnip.nodes.snippet')
157.329  000.059  000.059: require('luasnip.util.parser.neovim_ast')
157.386  000.056  000.056: require('luasnip.util.str')
157.893  000.506  000.506: require('luasnip.util.jsregexp')
158.033  000.139  000.139: require('luasnip.util.directed_graph')
158.036  000.836  000.076: require('luasnip.util.parser.ast_utils')
158.505  000.468  000.468: require('luasnip.nodes.functionNode')
158.667  000.161  000.161: require('luasnip.nodes.choiceNode')
158.736  000.067  000.067: require('luasnip.nodes.dynamicNode')
158.793  000.056  000.056: require('luasnip.util.functions')
158.796  002.437  000.849: require('luasnip.util.parser.ast_parser')
158.885  000.088  000.088: require('luasnip.util.parser.neovim_parser')
158.888  010.526  000.079: require('luasnip.util.parser')
158.943  000.054  000.054: require('luasnip.nodes.snippetProxy')
159.142  000.198  000.198: require('luasnip.util.jsonc')
159.325  000.053  000.053: require('luasnip.nodes.duplicate')
159.326  000.182  000.129: require('luasnip.loaders.snippet_cache')
159.330  011.212  000.197: require('luasnip/loaders/from_vscode')
164.644  000.117  000.117: require('luasnip.nodes.multiSnippet')
175.557  027.813  016.483: require('user.cmp')
176.393  000.084  000.084: require('lspconfig.async')
176.395  000.183  000.098: require('lspconfig.configs')
176.401  000.387  000.204: require('lspconfig')
176.549  000.077  000.077: require('mason-core.path')
176.881  000.250  000.250: require('mason-core.functional')
177.216  000.075  000.075: require('mason-core.functional.data')
177.221  000.326  000.252: require('mason-core.functional.function')
177.297  000.067  000.067: require('mason-core.functional.relation')
177.376  000.072  000.072: require('mason-core.functional.logic')
177.530  000.979  000.264: require('mason-core.platform')
177.612  000.081  000.081: require('mason.settings')
177.615  001.213  000.075: require('mason')
177.816  000.096  000.096: require('mason-core.functional.list')
177.892  000.072  000.072: require('mason-core.functional.string')
177.927  000.297  000.129: require('mason.api.command')
178.074  000.142  000.142: require('mason-registry.sources')
178.260  000.099  000.099: require('mason-core.log')
178.322  000.061  000.061: require('mason-lspconfig.settings')
178.324  000.239  000.079: require('mason-lspconfig')
179.149  000.065  000.065: require('mason-lspconfig.notify')
179.152  000.228  000.163: require('mason-lspconfig.lspconfig_hook')
179.336  000.084  000.084: require('mason-core.functional.table')
179.383  000.230  000.147: require('mason-lspconfig.mappings.server')
179.544  000.070  000.070: require('mason-core.EventEmitter')
179.612  000.068  000.068: require('mason-core.optional')
179.808  000.128  000.128: require('mason-core.async')
179.869  000.059  000.059: require('mason-core.async.uv')
179.873  000.260  000.073: require('mason-core.fs')
179.896  000.512  000.114: require('mason-registry')
179.954  000.057  000.057: require('mason-lspconfig.server_config_extensions')
180.143  000.188  000.188: require('lspconfig.configs.omnisharp')
182.020  000.078  000.078: require('mason-core.functional.number')
182.038  000.210  000.132: require('mason-lspconfig.api.command')
182.341  000.302  000.302: require('user.lsp.handlers')
183.052  000.363  000.363: require('lspconfig.configs.bashls')
185.270  000.141  000.141: require('lspconfig.manager')
185.363  000.072  000.072: require('lspconfig.configs.gopls')
187.500  000.195  000.195: require('user.lsp.settings.lua_ls')
188.037  000.201  000.201: require('lspconfig.configs.lua_ls')
190.416  000.138  000.138: require('lspconfig.configs.rust_analyzer')
192.198  000.169  000.169: require('user.lsp.settings.ts_ls')
192.692  000.163  000.163: require('lspconfig.configs.ts_ls')
194.158  000.408  000.408: require('lspconfig.configs.pyright')
196.258  000.218  000.218: require('null-ls.utils')
196.606  000.740  000.522: require('null-ls.config')
197.077  000.096  000.096: require('null-ls.helpers.cache')
197.210  000.132  000.132: require('null-ls.helpers.diagnostics')
